text_hash,true_label,predicted_label,misleading_probability,word_count,evidence_scope
3be6a9faf55bc7fc9ae1fe4787edb164c2ebb258e79a1a27a7c714cd8df1b2ed,0,1,0.9999033467536391,3858,untouched_final_test
9cdd7d22e8899d18264dc3b8f4b6702f50c9f5232fced04eae667a04fb7f315d,1,0,0.3765515104068569,505,untouched_final_test
8661ada70e0bf5c1c97d00afca32160a5fce8e8222b1a41dff4e2acc0cb3a7f2,1,0,0.36696108515564557,179,untouched_final_test
674de897ac80c9abe7ce08da0812be4149b68bc579ef752f9a8b5b083d6fe0b7,1,0,0.051794597477044874,402,untouched_final_test
7aad50b273799083b640015cfafc5ae27fe73f9978d8c19a7e8aed400c1c78b7,1,0,0.2340532925574097,452,untouched_final_test
d188ce79c992a3df68e8f0b907825a134396b775a2db7a30598bcb9b3351eab2,1,0,0.48461420200261773,192,untouched_final_test
433ce53e2cbea25d5aec25d4af4a9c83c70aedd23de742becbc98f71cf0b2812,1,0,0.18711376221819356,351,untouched_final_test
d64ad71fee7c07e61619aa42105776ca545714d07ad73d98817ff9236a7ddcd1,0,1,0.9115509860462766,367,untouched_final_test
8744f2b25205a305f3e2686115262a03fdeb298440a10f8b561eb129cc9e9f55,1,0,0.4084943011916322,382,untouched_final_test
444ac48f06c68cfffcfe1ba4107b4c3fae46bf10258706a640965a068cf7bb7f,1,0,0.05975979881641646,200,untouched_final_test
9d7c2c786e2b72f0dbcf3374c9431f98875b702506ff9e4a019117f9e83b9444,1,0,0.004312533922804246,320,untouched_final_test
7a519f5c7f999d2d1001c7b6af72f6239f25fb756736c7368caa635354589c22,1,0,0.1658976327813832,156,untouched_final_test
dd7af1d87223916c273f39017a98cc978f29959d1472bb3b51e4a3fe54362038,1,0,0.008037701541761727,123,untouched_final_test
6afc4252995c8285030a9100f503db3813c8dd0a34303baf51960a355ae9e795,1,0,0.47426380309473115,468,untouched_final_test
a1b1146d9fb23135b0b002886954c09448bc87c2b741cac8c8600745e2a97a0d,1,0,0.11497638057499376,320,untouched_final_test
e46419e68badb73665174df1c181ae49c961ba7d21c8e634449834972584a2bc,0,1,0.7221696159890951,709,untouched_final_test
07fec3fbe0d7143b396dd46ce5334885f8d23ce194a07769e576cd708bac5301,0,1,0.7171854267296723,131,untouched_final_test
47f087a34bd4739142f20f6c4d4cf504bbfdd86dce1f14823b3912e7c79daa51,1,0,0.1254205778939332,632,untouched_final_test
440b24f3d25085304ac99352d09b68f938bc94ded36e8452146f4ee1bdec7144,1,0,0.04354845726601722,258,untouched_final_test
